Accused_ID,Accused_Name,Gender,Age,Address,Contact_No,Nationality,Status,Created_At
28,Seema Reddy,Female,50,"895, Gandhi Nagar, Visakhapatnam",+91-8891623291,Indian,Arrested,2020-10-22
29,Arun Verma,Male,57,"940, Nehru Street, Vasai",+91-9732075833,Indian,Arrested,2021-12-25
30,Padma Tiwari,Female,48,"803, Gandhi Nagar, Kanpur",+91-8549456292,Indian,Convicted,2019-12-24
31,Asha Pandey,Female,30,"221, Nehru Street, Mumbai",+91-9029791974,Bangladeshi,At Large,2019-12-01
32,Asha Nair,Female,54,"516, Patel Colony, Ahmedabad",+91-9860354622,Indian,Absconding,2023-06-27
33,Lakshmi Joshi,Female,52,"293, Nehru Street, Agra",+91-7581174217,Indian,Arrested,2022-04-14
34,Ajay Chopra,Male,26,"728, Gandhi Nagar, Ghaziabad",+91-9589051455,Indian,Absconding,2021-05-02
35,Pooja Kumar,Female,48,"255, Nehru Street, Jaipur",+91-7969578926,Indian,Acquitted,2019-01-07
36,Pooja Verma,Female,24,"421, Patel Colony, Thane",+91-7835077717,Indian,At Large,2019-08-27
37,Kavita Singh,Female,41,"408, Gandhi Nagar, Rajkot",+91-8097046166,Bangladeshi,Acquitted,2019-12-29
38,Lakshmi Gupta,Female,51,"570, Patel Colony, Surat",+91-7781458065,Bangladeshi,Arrested,2021-01-16
39,Seema Iyer,Female,35,"373, Nehru Street, Chennai",+91-7503341533,Indian,Acquitted,2020-02-21
40,Seema Kumar,Female,23,"80, MG Road, Srinagar",+91-9006559765,Indian,Absconding,2020-06-26
41,Radha Pillai,Female,59,"296, Gandhi Nagar, Nagpur",+91-7348121214,Indian,Absconding,2023-01-11
42,Seema Bose,Female,33,"518, MG Road, Mumbai",+91-8576628760,Indian,Absconding,2019-08-16
43,Nitin Pillai,Male,59,"626, Gandhi Nagar, Lucknow",+91-8080937312,Indian,Acquitted,2019-12-31
44,Rekha Reddy,Female,64,"210, Nehru Street, Mumbai",+91-7920873929,Indian,Absconding,2022-06-20
45,Padma Patel,Female,41,"246, MG Road, Hyderabad",+91-7262659995,Indian,At Large,2020-06-18
46,Anita Mishra,Female,32,"878, Nehru Street, Thane",+91-9062043889,Bangladeshi,Arrested,2022-11-08
47,Pradeep Reddy,Male,53,"176, Nehru Street, Chennai",+91-8392779956,Indian,At Large,2019-02-22
48,Nitin Bose,Male,37,"926, Gandhi Nagar, Delhi",+91-9054716028,Indian,Convicted,2019-12-11
49,Sunita Singh,Female,35,"648, Patel Colony, Surat",+91-7056892367,Indian,Absconding,2021-03-08
50,Rajesh Bose,Male,56,"642, Patel Colony, Vasai",+91-8040866294,Indian,Acquitted,2022-05-28
51,Arun Singh,Male,51,"935, Patel Colony, Faridabad",+91-9567193344,Nepali,At Large,2021-03-01
52,Geeta Singh,Female,35,"449, MG Road, Ahmedabad",+91-8503222529,Indian,At Large,2019-08-09
53,Rajesh Kumar,Male,64,"196, MG Road, Ghaziabad",+91-8783763856,Indian,Acquitted,2023-04-09
54,Harish Gupta,Male,53,"951, Shivaji Marg, Mumbai",+91-9324150846,Indian,Absconding,2020-04-09
55,Sanjay Verma,Male,53,"401, MG Road, Pune",+91-8135045993,Indian,Absconding,2022-01-27
56,Usha Verma,Female,47,"634, Patel Colony, Delhi",+91-8635208740,Indian,Convicted,2021-10-31
57,Sunita Verma,Female,59,"70, Nehru Street, Mumbai",+91-7364115779,Indian,Acquitted,2019-10-07
58,Priya Pillai,Female,32,"863, Patel Colony, Jaipur",+91-7728340133,Indian,Absconding,2021-05-16
59,Kiran Shah,Male,41,"174, Shivaji Marg, Rajkot",+91-8383226037,Indian,Absconding,2020-07-13
60,Nisha Das,Female,31,"917, Patel Colony, Ghaziabad",+91-9614794638,Indian,Absconding,2020-04-15
61,Pradeep Pillai,Male,48,"589, Patel Colony, Ghaziabad",+91-9835010885,Indian,Absconding,2023-10-04
62,Suresh Das,Male,19,"481, Nehru Street, Jaipur",+91-9687509976,Indian,Acquitted,2022-04-16
63,Nitin Tiwari,Male,24,"325, MG Road, Meerut",+91-8205775193,Indian,Arrested,2022-03-12
64,Pradeep Das,Male,65,"27, Gandhi Nagar, Visakhapatnam",+91-9279506623,Indian,Absconding,2022-07-19
65,Lakshmi Das,Female,63,"16, Shivaji Marg, Meerut",+91-8800208895,Indian,Acquitted,2022-10-17
66,Priya Pillai,Female,38,"866, MG Road, Jaipur",+91-7736213769,Indian,At Large,2021-10-21
67,Lakshmi Gupta,Female,60,"141, Patel Colony, Delhi",+91-8334882147,Indian,Acquitted,2019-08-01
68,Arun Iyer,Male,40,"597, Nehru Street, Faridabad",+91-7261500382,Indian,Absconding,2022-07-20
69,Ajay Chopra,Male,33,"345, Gandhi Nagar, Ghaziabad",+91-8187214078,Indian,Convicted,2023-05-02
70,Padma Mehta,Female,20,"843, Patel Colony, Agra",+91-8792531719,Pakistani,Acquitted,2023-05-04
71,Anjali Pillai,Female,34,"574, Nehru Street, Bhopal",+91-7664473167,Indian,Arrested,2019-12-16
72,Divya Joshi,Female,44,"469, Shivaji Marg, Nashik",+91-9749735005,Indian,Convicted,2023-07-08
73,Pooja Gupta,Female,48,"604, Gandhi Nagar, Agra",+91-9667885803,Indian,Convicted,2020-11-02
74,Vinod Bose,Male,49,"261, Shivaji Marg, Surat",+91-9421243132,Indian,Arrested,2019-05-04
75,Naveen Mehta,Male,35,"39, Patel Colony, Indore",+91-7003957557,Indian,Acquitted,2023-04-05
76,Dinesh Singh,Male,26,"290, Gandhi Nagar, Ghaziabad",+91-8781770075,Indian,Acquitted,2021-08-20
77,Divya Mehta,Female,22,"725, Gandhi Nagar, Visakhapatnam",+91-9902173509,Nepali,Convicted,2021-02-07
78,Sanjay Pandey,Male,36,"428, MG Road, Ghaziabad",+91-8341287879,Indian,Convicted,2023-03-12
79,Nitin Verma,Male,50,"363, Gandhi Nagar, Ahmedabad",+91-7096301815,Indian,Arrested,2020-02-23
80,Geeta Singh,Female,22,"540, Shivaji Marg, Faridabad",+91-9139667076,Indian,Arrested,2021-07-08
81,Sanjay Bose,Male,40,"618, Gandhi Nagar, Kanpur",+91-9830433661,Indian,Absconding,2019-03-26
82,Asha Singh,Female,48,"88, Patel Colony, Pune",+91-7207316781,Sri Lankan,Arrested,2023-08-24
83,Naveen Chopra,Male,36,"289, MG Road, Chennai",+91-9272643146,Indian,Arrested,2021-05-09
84,Pooja Sharma,Female,58,"620, Gandhi Nagar, Chennai",+91-7374357163,Indian,Absconding,2022-01-11
85,Sanjay Singh,Male,20,"595, Gandhi Nagar, Vasai",+91-8784576877,Indian,Convicted,2021-10-18
86,Sushma Reddy,Female,33,"874, Patel Colony, Kalyan",+91-8469171182,Indian,Convicted,2021-02-12
87,Usha Joshi,Female,39,"633, MG Road, Hyderabad",+91-7893470536,Indian,Absconding,2019-08-15
88,Rekha Rao,Female,40,"791, MG Road, Kalyan",+91-7463335379,Pakistani,Arrested,2021-02-20
89,Pradeep Chopra,Male,31,"241, MG Road, Nagpur",+91-9307927410,Indian,Arrested,2020-01-29
90,Sunil Rao,Male,41,"696, MG Road, Surat",+91-8337135199,Nepali,Absconding,2020-10-06
91,Priya Reddy,Female,19,"147, Patel Colony, Vasai",+91-8075455791,Indian,Arrested,2023-06-27
92,Lakshmi Reddy,Female,36,"735, MG Road, Ahmedabad",+91-8373643079,Indian,At Large,2023-03-09
93,Rani Pillai,Female,45,"161, MG Road, Kolkata",+91-8804167722,Nepali,Absconding,2020-05-16
94,Kavita Reddy,Female,62,"900, Shivaji Marg, Indore",+91-8948247367,Indian,Arrested,2022-04-09
95,Geeta Shah,Female,38,"845, Patel Colony, Chennai",+91-7725311920,Indian,At Large,2019-11-19
96,Kiran Mishra,Male,57,"212, Patel Colony, Vasai",+91-8984691454,Indian,Arrested,2021-02-05
97,Nitin Mishra,Male,53,"618, MG Road, Varanasi",+91-9541507342,Indian,Absconding,2020-09-06
98,Lakshmi Mehta,Female,57,"597, MG Road, Ludhiana",+91-9508161174,Indian,Convicted,2022-09-07
99,Geeta Iyer,Female,38,"148, Gandhi Nagar, Kolkata",+91-9509028780,Indian,Acquitted,2019-05-29
100,Seema Kumar,Female,65,"539, Patel Colony, Mumbai",+91-9128220789,Indian,Acquitted,2020-06-07
101,Priya Singh,Female,50,"603, Patel Colony, Faridabad",+91-9096235274,Indian,Acquitted,2023-04-15
102,Manoj Bose,Male,46,"962, MG Road, Pune",+91-9645981311,Indian,Arrested,2021-05-17
103,Radha Verma,Female,65,"132, Shivaji Marg, Delhi",+91-9996507604,Indian,Acquitted,2022-09-26
104,Harish Verma,Male,58,"508, Gandhi Nagar, Bhopal",+91-8158995694,Indian,Convicted,2019-03-29
105,Ravi Patel,Male,32,"680, Nehru Street, Pune",+91-7054017162,Indian,Absconding,2022-06-19
106,Sunil Bose,Male,35,"359, Patel Colony, Kalyan",+91-8389910066,Indian,Convicted,2020-12-08
107,Pooja Mishra,Female,63,"944, Gandhi Nagar, Thane",+91-7539027447,Indian,Convicted,2021-09-30
108,Usha Verma,Female,45,"930, Patel Colony, Ludhiana",+91-9237972787,Pakistani,At Large,2020-12-12
109,Sushma Patel,Female,62,"333, Nehru Street, Vasai",+91-8786190490,Indian,At Large,2023-10-27
110,Divya Shah,Female,37,"45, Shivaji Marg, Lucknow",+91-8028704170,Indian,Arrested,2021-03-05
111,Priya Mehta,Female,54,"904, Nehru Street, Lucknow",+91-8346831175,Indian,Convicted,2019-08-27
112,Deepak Shah,Male,39,"426, Gandhi Nagar, Visakhapatnam",+91-7804728938,Indian,Acquitted,2019-06-02
113,Ajay Pandey,Male,43,"69, Shivaji Marg, Hyderabad",+91-7552587298,Indian,Arrested,2022-08-06
114,Padma Reddy,Female,65,"914, Nehru Street, Faridabad",+91-9396776338,Indian,Convicted,2022-04-02
115,Seema Mishra,Female,48,"585, Shivaji Marg, Varanasi",+91-9694976132,Indian,Convicted,2023-02-23
116,Dinesh Das,Male,32,"60, Nehru Street, Ludhiana",+91-7695940761,Indian,At Large,2020-06-16
117,Dinesh Gupta,Male,29,"781, Nehru Street, Jaipur",+91-9419779345,Indian,Convicted,2020-05-27
118,Rajesh Patel,Male,26,"495, Nehru Street, Visakhapatnam",+91-8741035911,Indian,At Large,2019-08-15
119,Neha Patel,Female,56,"93, Shivaji Marg, Jaipur",+91-9157832507,Bangladeshi,Arrested,2021-08-13
120,Naveen Chopra,Male,60,"355, Gandhi Nagar, Nashik",+91-8667763951,Indian,Arrested,2019-12-22
121,Ravi Rao,Male,40,"428, Patel Colony, Ahmedabad",+91-7885128738,Indian,Acquitted,2021-10-01
122,Lakshmi Pandey,Female,64,"297, Gandhi Nagar, Hyderabad",+91-9611279120,Indian,At Large,2019-01-04
123,Priya Verma,Female,31,"876, Gandhi Nagar, Faridabad",+91-9013367681,Indian,Arrested,2023-03-21
124,Naveen Gupta,Male,63,"456, Nehru Street, Kolkata",+91-9983989219,Sri Lankan,Arrested,2023-03-13
125,Anjali Mehta,Female,44,"83, MG Road, Delhi",+91-9391392028,Indian,Arrested,2019-01-27
126,Girish Sharma,Male,61,"864, Patel Colony, Nashik",+91-9888791146,Indian,Absconding,2020-11-05
127,Anita Tiwari,Female,39,"205, MG Road, Delhi",+91-7442273091,Indian,Arrested,2021-10-26
128,Harish Pandey,Male,19,"829, Gandhi Nagar, Bhopal",+91-9738247260,Indian,Convicted,2021-03-16
129,Vinod Joshi,Male,48,"180, Shivaji Marg, Jaipur",+91-7316271549,Indian,Arrested,2021-04-28
130,Rani Iyer,Female,39,"11, Gandhi Nagar, Nagpur",+91-7863509775,Nepali,Convicted,2022-06-05
131,Sanjay Pandey,Male,35,"32, Gandhi Nagar, Rajkot",+91-9106972941,Indian,Acquitted,2022-07-20
132,Vikram Rao,Male,27,"728, Nehru Street, Indore",+91-8472958632,Indian,Convicted,2022-11-11
133,Sushma Patel,Female,55,"647, Nehru Street, Lucknow",+91-7203737119,Indian,Arrested,2019-04-22
134,Rani Reddy,Female,53,"64, Patel Colony, Jaipur",+91-7288016000,Indian,Convicted,2020-11-06
135,Vinod Joshi,Male,52,"619, MG Road, Kolkata",+91-9149619757,Indian,Absconding,2021-10-31
136,Naveen Gupta,Male,18,"929, MG Road, Kanpur",+91-8408775627,Indian,Absconding,2021-08-14
137,Geeta Iyer,Female,54,"92, Gandhi Nagar, Patna",+91-8717809661,Indian,Convicted,2023-10-22
138,Geeta Chopra,Female,26,"521, Gandhi Nagar, Bhopal",+91-7575000159,Indian,Convicted,2019-08-11
139,Rekha Shah,Female,60,"835, MG Road, Indore",+91-7562813563,Indian,Absconding,2023-10-19
140,Seema Rao,Female,60,"873, Nehru Street, Nagpur",+91-8373701701,Indian,Convicted,2023-11-04
141,Anjali Tiwari,Female,52,"865, Patel Colony, Ludhiana",+91-8474295966,Indian,At Large,2023-05-11
142,Dinesh Singh,Male,62,"377, Shivaji Marg, Rajkot",+91-8488974127,Indian,Convicted,2021-11-21
143,Deepak Shah,Male,62,"667, Nehru Street, Delhi",+91-9538981614,Indian,Convicted,2023-07-11
144,Dinesh Joshi,Male,23,"158, Patel Colony, Pune",+91-7131816649,Indian,At Large,2022-02-24
145,Anjali Das,Female,20,"723, Shivaji Marg, Indore",+91-9116227408,Indian,Convicted,2019-10-06
146,Arun Sharma,Male,32,"949, Gandhi Nagar, Indore",+91-9364725550,Pakistani,At Large,2019-05-17
147,Dinesh Pandey,Male,45,"406, Patel Colony, Ahmedabad",+91-8840867494,Nepali,Convicted,2019-12-02
148,Suresh Nair,Male,36,"793, Nehru Street, Surat",+91-9161601606,Indian,Convicted,2021-01-10
149,Priya Reddy,Female,58,"104, Shivaji Marg, Patna",+91-9701218997,Indian,Acquitted,2021-04-10
150,Seema Rao,Female,55,"418, Patel Colony, Patna",+91-9054352464,Indian,Acquitted,2021-03-11
151,Asha Nair,Female,22,"402, Nehru Street, Surat",+91-9564062529,Indian,Acquitted,2020-07-08
152,Divya Tiwari,Female,49,"765, Gandhi Nagar, Faridabad",+91-9839322918,Indian,Acquitted,2021-11-25
153,Meena Verma,Female,28,"339, Gandhi Nagar, Varanasi",+91-7405958576,Indian,Absconding,2023-06-29
154,Ravi Kumar,Male,38,"279, Patel Colony, Lucknow",+91-9183523170,Bangladeshi,At Large,2022-02-28
155,Sunita Joshi,Female,18,"870, MG Road, Kanpur",+91-8262210085,Indian,Acquitted,2022-05-30
156,Priya Verma,Female,19,"73, Shivaji Marg, Agra",+91-9884167744,Indian,At Large,2021-07-12
157,Naveen Mehta,Male,34,"402, Patel Colony, Kanpur",+91-7995541360,Indian,Convicted,2020-08-02
158,Ajay Shah,Male,32,"840, Shivaji Marg, Srinagar",+91-9732575518,Nepali,Absconding,2022-05-22
159,Neha Patel,Female,54,"544, Nehru Street, Pune",+91-9470638571,Indian,At Large,2021-12-08
160,Vikram Rao,Male,18,"359, Nehru Street, Delhi",+91-7540533002,Pakistani,Absconding,2022-07-29
161,Pooja Chopra,Female,58,"70, MG Road, Thane",+91-7371886371,Nepali,Absconding,2022-09-05
162,Kiran Pandey,Male,37,"881, MG Road, Surat",+91-9481733021,Indian,Absconding,2020-08-01
163,Sanjay Mehta,Male,54,"460, Shivaji Marg, Nashik",+91-9683733517,Indian,Absconding,2019-03-16
164,Arun Nair,Male,53,"556, Patel Colony, Agra",+91-9917920730,Indian,Convicted,2021-03-08
165,Lakshmi Gupta,Female,64,"537, Shivaji Marg, Chennai",+91-8375167890,Bangladeshi,At Large,2020-02-18
166,Neha Shah,Female,57,"838, Patel Colony, Ahmedabad",+91-9362718626,Indian,Convicted,2020-08-10
167,Neha Sharma,Female,51,"103, Shivaji Marg, Indore",+91-7844188230,Indian,Arrested,2022-11-15
168,Vinod Reddy,Male,63,"9, Gandhi Nagar, Thane",+91-8652826088,Indian,Arrested,2021-11-10
169,Rajesh Pillai,Male,25,"357, Nehru Street, Faridabad",+91-9401919424,Indian,Acquitted,2019-08-29
170,Vikram Singh,Male,48,"522, Patel Colony, Visakhapatnam",+91-7242581438,Indian,Convicted,2021-04-11
171,Anita Shah,Female,26,"722, Shivaji Marg, Patna",+91-9373707101,Indian,At Large,2023-11-27
172,Arun Mishra,Male,46,"328, Patel Colony, Chennai",+91-8158851182,Indian,Absconding,2022-07-02
173,Rajesh Rao,Male,44,"14, Patel Colony, Visakhapatnam",+91-8880792751,Indian,Convicted,2019-08-15
174,Vinod Pillai,Male,60,"952, Gandhi Nagar, Bangalore",+91-8623519396,Indian,Convicted,2019-05-12
175,Manoj Shah,Male,44,"489, Nehru Street, Jaipur",+91-9997945259,Indian,Acquitted,2020-10-09
176,Kiran Gupta,Male,40,"455, Nehru Street, Bhopal",+91-8276339944,Indian,Absconding,2021-12-25
177,Pradeep Kumar,Male,64,"430, Shivaji Marg, Srinagar",+91-9462927366,Nepali,At Large,2023-07-30
178,Meena Patel,Female,38,"754, Patel Colony, Pune",+91-9045792723,Bangladeshi,Arrested,2022-01-17
179,Radha Reddy,Female,45,"294, Patel Colony, Ludhiana",+91-9123626974,Sri Lankan,Acquitted,2019-05-04
180,Divya Sharma,Female,56,"558, Gandhi Nagar, Agra",+91-9164684361,Indian,At Large,2023-10-27
181,Ravi Mehta,Male,62,"62, Gandhi Nagar, Bangalore",+91-9082491666,Indian,Convicted,2019-04-16
182,Manoj Chopra,Male,42,"208, Gandhi Nagar, Thane",+91-7887205997,Indian,Absconding,2019-11-05
183,Vinod Chopra,Male,26,"286, Nehru Street, Kolkata",+91-8941627207,Indian,At Large,2020-10-10
184,Nisha Mishra,Female,58,"137, Patel Colony, Vasai",+91-7826259230,Indian,At Large,2023-08-15
185,Sanjay Iyer,Male,61,"757, Gandhi Nagar, Kalyan",+91-8992810137,Indian,At Large,2022-09-24
186,Pooja Mishra,Female,58,"387, Shivaji Marg, Agra",+91-8987251473,Nepali,Acquitted,2021-09-12
187,Pooja Rao,Female,58,"481, MG Road, Vasai",+91-7898153975,Indian,Acquitted,2022-08-27
188,Divya Reddy,Female,62,"190, Patel Colony, Patna",+91-9261770301,Indian,Arrested,2019-09-09
189,Dinesh Iyer,Male,23,"791, Gandhi Nagar, Mumbai",+91-7957435058,Indian,At Large,2023-11-11
190,Usha Nair,Female,61,"594, Nehru Street, Mumbai",+91-7407133462,Pakistani,Acquitted,2020-07-16
191,Rekha Singh,Female,52,"628, Gandhi Nagar, Hyderabad",+91-8367077746,Indian,Absconding,2023-12-24
192,Nitin Sharma,Male,21,"912, Gandhi Nagar, Ludhiana",+91-8491025398,Indian,At Large,2020-02-20
193,Arun Das,Male,48,"196, Nehru Street, Kanpur",+91-9867912574,Indian,Absconding,2019-01-19
194,Padma Tiwari,Female,42,"369, Patel Colony, Bhopal",+91-7430620838,Indian,Absconding,2022-04-11
195,Kavita Singh,Female,30,"152, Nehru Street, Thane",+91-7256334667,Indian,Arrested,2023-10-08
196,Radha Bose,Female,36,"984, Gandhi Nagar, Varanasi",+91-8280141991,Indian,At Large,2022-11-04
197,Rajesh Shah,Male,28,"872, Nehru Street, Surat",+91-9338072561,Indian,Absconding,2022-05-09
198,Sushma Rao,Female,43,"215, MG Road, Jaipur",+91-8703494463,Indian,At Large,2023-10-11
199,Sunita Patel,Female,48,"162, Patel Colony, Jaipur",+91-7653903965,Indian,At Large,2020-04-27
200,Ajay Joshi,Male,56,"51, Shivaji Marg, Rajkot",+91-8219692346,Indian,Convicted,2020-07-30
201,Sunil Das,Male,33,"261, Gandhi Nagar, Thane",+91-9919770965,Indian,At Large,2019-05-06
202,Ravi Nair,Male,42,"442, Gandhi Nagar, Jaipur",+91-7617089353,Indian,Acquitted,2023-09-11
203,Anita Joshi,Female,18,"547, Nehru Street, Kolkata",+91-8948690260,Indian,Convicted,2019-11-08
204,Dinesh Chopra,Male,22,"783, MG Road, Faridabad",+91-9722385875,Indian,Acquitted,2021-12-15
205,Sunita Bose,Female,64,"793, Patel Colony, Ludhiana",+91-7187945517,Indian,At Large,2020-01-10
206,Priya Joshi,Female,44,"606, MG Road, Faridabad",+91-9736505293,Indian,Acquitted,2022-06-08
207,Rani Pandey,Female,24,"931, Patel Colony, Surat",+91-7575944804,Pakistani,Acquitted,2019-05-29
208,Ajay Pillai,Male,52,"558, Nehru Street, Lucknow",+91-8372025306,Sri Lankan,Arrested,2023-10-04
209,Ravi Chopra,Male,21,"896, Gandhi Nagar, Ludhiana",+91-9934728661,Indian,Arrested,2023-05-05
210,Nitin Iyer,Male,18,"472, MG Road, Hyderabad",+91-7290646650,Indian,At Large,2022-11-08
211,Pooja Pandey,Female,51,"384, MG Road, Agra",+91-7725551899,Indian,At Large,2020-12-09
212,Ravi Das,Male,46,"97, Nehru Street, Nashik",+91-9323097440,Indian,Arrested,2022-09-07
213,Vikram Pillai,Male,23,"261, Patel Colony, Agra",+91-9469223967,Indian,Acquitted,2020-06-07
214,Dinesh Tiwari,Male,62,"170, Nehru Street, Mumbai",+91-9486742264,Indian,At Large,2023-08-08
215,Girish Singh,Male,40,"806, Gandhi Nagar, Kanpur",+91-7204262889,Indian,Acquitted,2019-10-12
216,Suresh Bose,Male,53,"4, MG Road, Srinagar",+91-7678272823,Indian,Convicted,2019-12-07
217,Radha Verma,Female,48,"755, Gandhi Nagar, Chennai",+91-7583561611,Indian,Absconding,2019-05-10
218,Vinod Joshi,Male,33,"56, Gandhi Nagar, Faridabad",+91-9954933997,Indian,Acquitted,2019-04-04
219,Nitin Pandey,Male,43,"834, Gandhi Nagar, Patna",+91-8029540388,Indian,Absconding,2020-07-30
220,Anjali Pillai,Female,59,"403, Nehru Street, Chennai",+91-8103337093,Indian,Absconding,2022-04-27
221,Divya Chopra,Female,65,"538, MG Road, Delhi",+91-7820670837,Indian,At Large,2021-12-06
222,Rekha Patel,Female,36,"570, Patel Colony, Thane",+91-9814752629,Indian,Arrested,2022-04-24
223,Pradeep Sharma,Male,39,"998, MG Road, Kanpur",+91-8169871734,Pakistani,Absconding,2023-10-17
224,Meena Mehta,Female,55,"29, Nehru Street, Indore",+91-7506455859,Indian,Arrested,2021-08-13
225,Meena Verma,Female,57,"54, Patel Colony, Mumbai",+91-8087205417,Indian,Convicted,2022-03-18
226,Vikram Singh,Male,48,"128, Patel Colony, Nagpur",+91-8079859537,Bangladeshi,At Large,2019-03-02
227,Nitin Chopra,Male,43,"541, Shivaji Marg, Rajkot",+91-9954103698,Indian,Absconding,2021-03-22
228,Nisha Rao,Female,48,"301, Nehru Street, Indore",+91-9572150748,Indian,Convicted,2019-01-11
229,Anjali Bose,Female,42,"748, MG Road, Delhi",+91-8254922730,Bangladeshi,Convicted,2020-06-23
230,Rajesh Tiwari,Male,24,"557, MG Road, Delhi",+91-7828759489,Indian,Absconding,2020-03-07
231,Arun Tiwari,Male,61,"967, Shivaji Marg, Hyderabad",+91-9684998320,Indian,Acquitted,2020-03-18
232,Kiran Patel,Male,43,"19, Gandhi Nagar, Agra",+91-8700479527,Indian,Acquitted,2021-09-16
233,Kavita Das,Female,44,"575, Nehru Street, Hyderabad",+91-9400541193,Pakistani,Arrested,2022-09-26
234,Deepak Bose,Male,48,"536, MG Road, Lucknow",+91-8975398290,Indian,Acquitted,2023-09-05
235,Pradeep Nair,Male,49,"395, Nehru Street, Visakhapatnam",+91-7673158956,Indian,Absconding,2020-04-16
236,Deepak Pandey,Male,40,"247, Shivaji Marg, Ahmedabad",+91-8574942792,Indian,Convicted,2019-03-27
237,Pooja Pandey,Female,53,"857, Patel Colony, Surat",+91-8016789736,Indian,At Large,2019-07-10
238,Vinod Pandey,Male,49,"856, Nehru Street, Bangalore",+91-8955486518,Nepali,Acquitted,2023-01-29
239,Sushma Reddy,Female,20,"283, Shivaji Marg, Surat",+91-9645522013,Indian,Convicted,2021-07-28
240,Manoj Chopra,Male,42,"881, Nehru Street, Meerut",+91-9469452163,Indian,Convicted,2020-04-22
241,Sunita Rao,Female,61,"257, MG Road, Pune",+91-8473702398,Indian,Convicted,2022-01-13
242,Naveen Sharma,Male,36,"830, MG Road, Chennai",+91-9896647655,Indian,Acquitted,2021-05-29
243,Neha Verma,Female,48,"877, Gandhi Nagar, Faridabad",+91-7446996249,Bangladeshi,Absconding,2022-09-14
244,Sushma Singh,Female,61,"737, Patel Colony, Indore",+91-9474646000,Indian,Convicted,2020-10-17
245,Anjali Das,Female,33,"316, MG Road, Mumbai",+91-7509875875,Indian,Absconding,2023-10-26
246,Divya Das,Female,46,"956, MG Road, Bhopal",+91-7624431701,Indian,Convicted,2022-11-22
247,Sunil Tiwari,Male,27,"862, Shivaji Marg, Varanasi",+91-7505381848,Indian,Convicted,2023-04-02
248,Pooja Iyer,Female,54,"979, Shivaji Marg, Thane",+91-7274797619,Indian,Convicted,2019-02-22
